##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
NAME_SS_INFANTRY;Waffen-SS Infantry;Waffen-SS Infanterie;;;Waffen-SS Infanterie;;;;;;X
9300056name;Continuation War;Continuation War;;;Fortsetzungskrieg;;;;;;X
9300056desc;On May 1941, Germany invited Finnish officers to Germany to discuss the coordination of Operation Barbarossa. The participants met in Salzburg and Berlin, and continued in Helsinki on June. They agreed upon the arrival of German troops, Finnish mobilization and general division of operations. It was also agreed that the Finnish Army would start mobilization, but the Germans did not reveal the final date for the assault. The Finnish decisions were made by a small group of political and military leaders and the rest of the government was largely kept in the dark. They were told only later that the country would start mobilization of reservists due to tensions between Germany and the Soviet Union. Germany regarded the 'Continuation War' as part of its overall war efforts on the Eastern front and provided Finland with critical material support and military cooperation.;On May 1941, Germany invited Finnish officers to Germany to discuss the coordination of Operation Barbarossa. The participants met in Salzburg and Berlin, and continued in Helsinki on June. They agreed upon the arrival of German troops, Finnish mobilization and general division of operations. It was also agreed that the Finnish Army would start mobilization, but the Germans did not reveal the final date for the assault. The Finnish decisions were made by a small group of political and military leaders and the rest of the government was largely kept in the dark. They were told only later that the country would start mobilization of reservists due to tensions between Germany and the Soviet Union. Germany regarded the 'Continuation War' as part of its overall war efforts on the Eastern front and provided Finland with critical material support and military cooperation.;;;Im Mai 1941 lud das Deutsche Reich finnische Offiziere nach Deutschland ein, um die Koordination von Operation Barbarossa zu besprechen. Die Teilnehmer trafen  sich in Salzburg und Berlin und setzten die Gespräche im Juni in Helsinki fort. Sie einigten sich auf die Ankunft der deutschen Truppen, Finnische Mobilisierung und allgemeine Aufteilung der Operationen. Es wurde ebenfalls die Mobilisierung der finnischen Armee vereinbart, allerdings legten die Deutschen den Angriffstermin nicht offen. Die Finnischen Entscheidungen wurden von einer kleinen Gruppe führender Militärs und Politiker getroffen. Den Rest der Regierung lies man größtenteils im Dunkeln, ihnen wurde später nur mitgeteilt, dass das Land, auf Grund der Spannungen zwischen Deutschland und der Sowjetunion, mit der Mobilisierung seiner Reservisten beginnt. Deutschland betrachtete den 'Fortsetzungskrieg' als Teil seiner Kriegsanstrengungen an der Ostfront und stellte für Finnland Rohstoffen und militärische Unterstützung bereit.;;;;;;X
9300056a;Draw Finland into the war against Russia;Draw Finland into the war against Russia;;;Lockt die Finnen in den Krieg gegen Russland;;;;;;X
9300057a;Invade Soviet Union;Invade Soviet Union;;;Fallt in die Sowjetunion ein;;;;;;X
9300057b;Remain Neutral;Remain Neutral;;;Bleibt Neutral;;;;;;X
9300058name;Welthauptstadt Germania;Welthauptstadt Germania;;;Welthauptstadt Germania;;;;;;X
9300058desc;Welthauptstadt Germania ('World Capital Germania') refers to the projected renewal of the German capital Berlin during the National Socialist period, part of Adolf Hitler's vision for the future of Germany after the planned victory in World War II. Albert Speer, the 'first architect of the Third Reich', produced many of the plans for the rebuilt city in his capacity as overseer of the project, only a small portion of which was realized between the years 1937-1943 when construction took place. Some projects, such as the creation of a great East-West city axis, which included broadening Charlottenburger Chaussee (today Straße des 17. Juni) and placing the Berlin victory column in the center, far away from the Reichstag, where it originally stood, were successfully completed. Others, however, such as the creation of the Große Halle (Great Hall), had to be shelved owing to the beginning of war. Speer designed a new Chancellery, which included a vast hall designed to be twice as long as the Hall of Mirrors in the Palace of Versailles. Hitler wanted him to build a third, even larger, although it was never begun. A great number of the old buildings in many of the planned construction areas were demolished before the war and eventually defeat stopped the plans.;Welthauptstadt Germania ('World Capital Germania') refers to the projected renewal of the German capital Berlin during the Nazi period, part of Adolf Hitler's vision for the future of Germany after the planned victory in World War II. Albert Speer, the 'first architect of the Third Reich', produced many of the plans for the rebuilt city in his capacity as overseer of the project, only a small portion of which was realized between the years 1937-1943 when construction took place. Some projects, such as the creation of a great East-West city axis, which included broadening Charlottenburger Chaussee (today Straße des 17. Juni) and placing the Berlin victory column in the center, far away from the Reichstag, where it originally stood, were successfully completed. Others, however, such as the creation of the Große Halle (Great Hall), had to be shelved owing to the beginning of war. Speer designed a new Chancellery, which included a vast hall designed to be twice as long as the Hall of Mirrors in the Palace of Versailles. Hitler wanted him to build a third, even larger, although it was never begun. A great number of the old buildings in many of the planned construction areas were demolished before the war and eventually defeat stopped the plans.;;;Der Begriff Welthauptstadt Germania wurde im März 1942 durch Adolf Hitler eingeführt. Seitdem steht dieses Synonym für den „Gesamtbauplan für die Reichshauptstadt“, mit dem sie zum Mittelpunkt eines großgermanischen Weltreichs umgestaltet werden sollte. Adolf Hitler verlieh Speer den eigens geschaffenen Titel „Generalbauinspektor für die Reichshauptstadt“ (GBI) und unterstellte ihm die gleichnamige Behörde, mit der Speer 1937–1943 den Umbau von Berlin in Teilen durchführte. Die Planungen für Berlin, die ab 1935 bis 1943 erarbeitet wurden, sahen ein Kreuz von zwei breiten Verkehrsachsen vor, die vom Autobahnring durch die Innenstadt wieder zum Autobahnring führen sollten. Anfänglich zwei, später vier Ringe sollten den Verkehr von den Achsen in die Stadtfläche verteilen. An dem Schnittpunkt der Monumentalachsen sollte die „Große Halle“ als zentrale Versammlungsstätte liegen. Insbesondere die Nord-Süd-Achse sollte als Prachtstraße ausgebaut werden. Als Ersatz für die wegfallenden Flächen in der Innenstadt sollten unter anderem im Grunewald eine neue Hochschulstadt sowie im Osten und Süden Berlins völlig neue Stadtteile entstehen.;;;;;;X
9300059name;Build Air Defenses in Ploiesti;Build Air Defenses in Ploiesti;;;Luftverteidigung für Ploiesti;;;;;;X
9300059desc;Romania had been a big participant in the oil industry since the 1800s. It was one of the largest producers in Europe and Ploesti was a major part of that production. In 1943, crude and refined oil from the Ploiesti oil fields provided about 35 percent of all Axis oil supplies. In June 1942, 13 B-24 Liberators attacked Ploiesti. Though damage was small, Germany responded by putting strong anti-aircraft defenses around Ploiesti. Luftwaffe General Alfred Gerstenberg built one of the heaviest and best-integrated air defense networks in Europe. The defenses included several hundred large-caliber—88 mm (3.46 in) and 105 mm (4.1 in)—anti-aircraft guns, and many more small-caliber guns. The latter were concealed in haystacks, railroad cars, and mock buildings. A Luftwaffe air command center in Lipesk controlled three fighter groups within flight range of Ploiesti (52 Bf 109 fighters and Bf 110 night fighters, and some Romanian IAR-80 fighters). Gerstenberg also counted on warnings from the Luftwaffe signals intelligence station in Athens, which monitored Allied preparations as far away as North Africa. The Germans would be ready to protect their refineries from the American B-24s.;Romania had been a big participant in the oil industry since the 1800s. It was one of the largest producers in Europe and Ploesti was a major part of that production. In 1943, crude and refined oil from the Ploiesti oil fields provided about 35 percent of all Axis oil supplies. In June 1942, 13 B-24 Liberators attacked Ploiesti. Though damage was small, Germany responded by putting strong anti-aircraft defenses around Ploiesti. Luftwaffe General Alfred Gerstenberg built one of the heaviest and best-integrated air defense networks in Europe. The defenses included several hundred large-caliber—88 mm (3.46 in) and 105 mm (4.1 in)—anti-aircraft guns, and many more small-caliber guns. The latter were concealed in haystacks, railroad cars, and mock buildings. A Luftwaffe air command center in Lipesk controlled three fighter groups within flight range of Ploiesti (52 Bf 109 fighters and Bf 110 night fighters, and some Romanian IAR-80 fighters). Gerstenberg also counted on warnings from the Luftwaffe signals intelligence station in Athens, which monitored Allied preparations as far away as North Africa. The Germans would be ready to protect their refineries from the American B-24s.;;;Im Umland der rumänischen Stadt Ploie?ti befanden sich vom Deutschen Reich kontrollierte Ölförderanlagen. Die Raffinerien galten wegen der mit den Produkten einhergehenden hohen Feuergefahr für Luftangriffe als besonders anfällig. So wurden auf dem das Gelände der Raffinerien umfassenden Industriekomplex zahlreiche Luftschutzbunker für die dort beschäftigten Arbeiter eingerichtet. Ab 1942 begann der Bau von unterirdischen Öltanks. Im August 1943 stellten die Luftstreitkräfte der rumänischen Armee fünf Fluggeschwader mit IAR-80-Jagdflugzeugen zur Verteidigung des Dreiecks Bukarest-Ploie?ti-Mizil bereit, die Luftwaffe brachte vier Geschwader ein, bestehend aus 52 Messerschmitt-Bf-109-Jagdflugzeugen und Messerschmitt-Bf-110-Zerstörern. 1943 wurden zwischen Ploie?ti und Câmpina 21 rumänische und 31 deutsche Flugabwehr-Batterien in Stellung gebracht. Ihre Gesamtzahl stieg 1944 auf 80 (35 rumänische und 45 deutsche Batterien) an. Damit konzentrierten sich 40 Prozent der rumänischen Flugabwehrkanonen in diesem Bereich, bestehend aus mehreren hundert Geschützen schwerer Flak (8,8 und 10,5 Zentimeter) sowie zahlreichen Batterien mittlerer und leichter Flak (3,7 und 2 Zentimeter), die durch Heuhaufen, Eisenbahnwagen und Gebäudeattrappen getarnt waren. 20 weitere Bataillone betreuten Suchscheinwerfer und Nebelwerfer.;;;;;;X
9300060name;The Downfall of Wilhelm Canaris;The Downfall of Wilhelm Canaris;;;Der Untergang von Wilhelm Canaris;;;;;;X
9300060desc;After Adolf Hitler's rise to power in 1933, Canaris was made head of the Abwehr, Germany's official military intelligence agency, on 1 January 1935. Later that year, he was promoted Rear Admiral. During the period 1935–36, he made contacts in Spain to organise a German spy network there, due to his excellent Spanish. He was the moving force behind the decision that sided Germany with Francisco Franco during the Spanish Civil War, despite Hitler's initial hesitation to get involved in such an adventure. By 1938, however, he had realised that Hitler's policies and plans would lead Germany to disaster and secretly began to work against the régime. At the insistence of Heinrich Himmler, who had suspected him for a long time, Hitler dismissed Canaris from the Abwehr in February 1944, replacing him with Walter Schellenberg and merging most of the Abwehr with the Sicherheitsdienst (SD). Some weeks later, Canaris was put under house arrest, preventing him from taking part directly in the 20 July Plot, 1944, to assassinate Hitler.;After Adolf Hitler's rise to power in 1933, Canaris was made head of the Abwehr, Germany's official military intelligence agency, on 1 January 1935. Later that year, he was promoted Rear Admiral. During the period 1935–36, he made contacts in Spain to organise a German spy network there, due to his excellent Spanish. He was the moving force behind the decision that sided Germany with Francisco Franco during the Spanish Civil War, despite Hitler's initial hesitation to get involved in such an adventure. By 1938, however, he had realised that Hitler's policies and plans would lead Germany to disaster and secretly began to work against the régime. At the insistence of Heinrich Himmler, who had suspected him for a long time, Hitler dismissed Canaris from the Abwehr in February 1944, replacing him with Walter Schellenberg and merging most of the Abwehr with the Sicherheitsdienst (SD). Some weeks later, Canaris was put under house arrest, preventing him from taking part directly in the 20 July Plot, 1944, to assassinate Hitler.;;;Ab 1932 scheint Canaris immer mehr von Adolf Hitler und seinen Ideen angezogen worden zu sein. Er galt als begeisterter Nationalsozialist. Am 2. Januar 1935 wurde Canaris zum Nachfolger von Kapitän zur See Conrad Patzig als Chef der deutschen Abwehr bestimmt. Nach der Ernennung zum Abwehrchef 1935 nutzte Canaris seine exzellenten Spanischkenntnisse und baute teils persönlich in Spanien ein Spionagenetzwerk auf. Canaris gilt als Hintermann der deutschen militärischen Unterstützung Francos im Spanischen Bürgerkrieg. 1938 erkannte Canaris, dass Hitlers Politik Deutschland zum Untergang führen würden und er begann im Geheimen gegen das Regime zu arbeiten. Am 11. Februar 1944 wurde Canaris seines Amtes als Abwehrchef enthoben. Der Entlassung als Abwehrchef ging eine Reihe von Fehlern der Abwehr voraus. Klagen über eine schlechte Arbeit der Abwehr hatten sich ab 1943 mit den zunehmenden Niederlagen der Wehrmacht gehäuft. So hatte die Abwehr die Vorbereitungen zur Operation Shingle (Landung alliierter Truppen bei Anzio in Italien) nicht erkannt. Einige Wochen später wurde Canaris unter Hausarrest gestellt, was seine Teilnahme an der Verschwörung vom 20.Juli, des Attentats auf Hitler und dem Putschversuch, verhinderte.;;;;;;X
9300060a;Replace Him;Replace Him;;;Ersetzt ihn;;;;;;X
9300060b;We Still Need Him;We Still Need Him;;;Wir brauchen ihn auch weiterhin;;;;;;X
9300061name;The Downfall of Erich Raeder;The Downfall of Erich Raeder;;;Der Sturz des Erich Raeder;;;;;;X
9300061desc;By 1942, Dönitz had emerged as Hitler's favorite admiral (whom Hitler liked so much that eventually named him as his successor). Raeder longed to sack Dönitz, but was unwilling to do so as he felt that was nobody to replace the aggressive and fanatically National Socialist Dönitz, who knew more about submarine warfare than any other admiral in the Kriegsmarine and seemed to be on the verge of winning the Battle of the Atlantic. Despite his strong dislike of Dönitz, Raeder recognized the success of the U-boats, and lobbied Hitler for more funding of submarine construction. A series of failed operations, combined with the outstanding success of the U-boat fleet under the command of Karl Dönitz led to his eventual demotion to the rank of Admiral Inspector of the Kriegsmarine in January 1943. At a meeting on 6 January 1943 Hitler savaged Raeder, complaining that he had spent millions of Reichsmarks in the 1930s building a fleet that proved useless when war came, instead of spending the money on building U-boats, which had proven far more useful in the war. Dönitz succeeded him in the post of Commander-in-Chief of the Navy.;By 1942, Dönitz had emerged as Hitler's favorite admiral (whom Hitler liked so much that eventually named him as his successor). Raeder longed to sack Dönitz, but was unwilling to do so as he felt that was nobody to replace the aggressive and fanatically National Socialist Dönitz, who knew more about submarine warfare than any other admiral in the Kriegsmarine and seemed to be on the verge of winning the Battle of the Atlantic. Despite his strong dislike of Dönitz, Raeder recognized the success of the U-boats, and lobbied Hitler for more funding of submarine construction. A series of failed operations, combined with the outstanding success of the U-boat fleet under the command of Karl Dönitz led to his eventual demotion to the rank of Admiral Inspector of the Kriegsmarine in January 1943. At a meeting on 6 January 1943 Hitler savaged Raeder, complaining that he had spent millions of Reichsmarks in the 1930s building a fleet that proved useless when war came, instead of spending the money on building U-boats, which had proven far more useful in the war. Dönitz succeeded him in the post of Commander-in-Chief of the Navy.;;;Ab 1942 war Dönitz Hitlers Lieblingsgeneral ( den Hitler so sehr mochte, dass er ihn als seinen möglichen Nachfolger betrachtete ). Raeder sehnte sich nach der Entlassung von Dönitz, aber er war letztlich nicht gewillt ihn zu entlassen, da er wusste, dass Dönitz, der fanatischer Nationalsozialist war und mehr über die U-bootskriegsführung wusste als jeder andere, nicht ersetzbar war. Außerdem schien Dönitz nahe daran den Krieg im Atlantik zu gewinnen. Trotz seiner starken Abneigung gegen Dönitz, erkannte Raeder den Erfolg der U-Boote an und setzte sich bei Hitler für den Bau von weiteren U-Booten ein. Eine Reihe von Misserfolgen, bei gleichzeitigem Erfolg der U-Bootflotte unter Dönitz Kommandos, führte zur Degradierung zum neugeschaffenen Admiralinspekteur im Januar 1943. Bei einem Treffen am 6.Januar 1943 hielt Hitler Raeder wutentbrannt vor, in den 30er Jahren Millionen von Reichsmark für den Bau einer Flotte verschwendet zu haben, die sich im Krieg als nutzlos erwies, anstatt das Geld in den U-Bootbau zu investieren, die sich im Krieg weit mehr bewährt hatte. Dönitz wurde sein Nachfolger im Amt des Oberbefehlshabers der Kriegsmarine.;;;;;;X
9300061a;Appoint Dönitz as head of the Kriegsmarine;Appoint Dönitz as head of the Kriegsmarine;;;Ernennt Dönitz zum Oberbefehlshaber der Kriegsmarine;;;;;;X
9300063name;Standard Oil & I.G. Farben Cooperation;Standard Oil & I.G. Farben Cooperation;;;Standart Öl & I.G. Farben Kooperation;;;;;;X
9300063desc;Agreements between Rockefeller's Standard Oil and I.G. Farben in the late 1920's aimed at creating a world monopoly on synthetic rubber. In 1938, Standard Oil provided I.G. Farben with its new butyl rubber process.  This technology was critical because Germany had no natural rubber, and thus Germany's ability to fight World War II depended on synthetic rubber. A 1941 investigation even exposed a 'marriage' cartel between Standard and Farben. ;Agreements between Rockefeller's Standard Oil and I.G. Farben in the late 1920's aimed at creating a world monopoly on synthetic rubber. In 1938, Standard Oil provided I.G. Farben with its new butyl rubber process.  This technology was critical because Germany had no natural rubber, and thus Germany's ability to fight World War II depended on synthetic rubber. A 1941 investigation even exposed a 'marriage' cartel between Standard and Farben. ;;;Die seit 1929 mit der Standard Oil of New Jersey bestehenden Geschäftsbeziehungen (und Kartellabsprachen) wurden auch während des Zweiten Weltkriegs aufrechterhalten. Die I.G. spielte eine wichtige Rolle im Vierjahresplan. So basierte Hitlers Denkschrift zum Vierjahresplan auf Unterlagen der I.G., und in der Folge wurden viele Posten der Vierjahresplanbehörde mit deren Mitarbeitern besetzt, denen die I.G. außerordentlich hohe Gehälter zahlte, um sie mit dem Konzern verbunden zu halten. Das Unternehmen präsentierte auf der Internationalen Automobil-Ausstellung am 15. Februar 1936 auf dem Berliner Messegelände den ersten Autoreifen aus synthetischem Kautschuk.;;;;;;X
9300063a;Continue Business with Corporate America;Continue Business with Corporate America;;;Die Geschäfte mit der Corporate America fortführen;;;;;;X
9300063b;Do Not Strengthen a Future Foe;Do Not Strengthen a Future Foe;;;Einen zukünftigen Feind nicht stärken;;;;;;X
9300064name;Henry Ford awarded the Grand Cross of the German Eagle;Henry Ford awarded the Grand Cross of the German Eagle;;;Henry Fords Auszeichnung mit dem Adlerschild des Deutschen Reiches;;;;;;X
9300064desc;Henry Ford in the early 1920s sponsored a weekly newspaper, The Dearborn Independent, that published strongly anti-Semitic views, such as The Protocols of the Elders of Zion. It was general knowledge at that time, when it was not treason to aid Hitler, that Ford was one of his spiritual and economic backers. In a letter written in 1924, Heinrich Himmler described Ford as 'one of our most valuable, important, and witty fighters.' Speaking in 1931 to a Detroit News reporter, Hitler said he regarded Ford as his 'inspiration' and that he kept Ford's life-size portrait next to his desk. Ford is the only American mentioned in Mein Kampf. He eagerly collaborated with the National Socialists, which greatly enhanced its business prospects and at the same time helped Hitler prepare for war. Thus In July 1938, the German consul in Cleveland, Ohio, gave Ford, on his 75th birthday, the award of the Grand Cross of the German Eagle, the highest medal National Socialist Germany could bestow on a foreigner.;Henry Ford in the early 1920s sponsored a weekly newspaper, The Dearborn Independent, that published strongly anti-Semitic views, such as The Protocols of the Elders of Zion. It was general knowledge at that time, when it was not treason to aid Hitler, that Ford was one of his spiritual and economic backers. In a letter written in 1924, Heinrich Himmler described Ford as 'one of our most valuable, important, and witty fighters.' Speaking in 1931 to a Detroit News reporter, Hitler said he regarded Ford as his 'inspiration' and that he kept Ford's life-size portrait next to his desk. Ford is the only American mentioned in Mein Kampf. He eagerly collaborated with the Nazis, which greatly enhanced its business prospects and at the same time helped Hitler prepare for war. Thus In July 1938, the German consul in Cleveland, Ohio, gave Ford, on his 75th birthday, the award of the Grand Cross of the German Eagle, the highest medal Nazi Germany could bestow on a foreigner.;;;Die Ford Motor Company war am Aufbau der deutschen Streitkräfte vor dem Zweiten Weltkrieg beteiligt. 1938 wurde beispielsweise ein Fertigungswerk in Berlin in Betrieb genommen, dessen einzige Aufgabe es war, Lkw für die Wehrmacht herzustellen. Ford produzierte insgesamt 78.000 Lkw und 14.000 Kettenfahrzeuge für die Wehrmacht. Vor dem Einmarsch der deutschen Wehrmacht ins Sudetenland erhielt sie von Ford eine Eillieferung von 1.000 Lkw. Die Ford-Werke wurden bis Ende 1944 von der alliierten Bombardierung ganz verschont und danach auch nur wenig beschädigt. Dort wurden auch Zwangsarbeiter aus Konzentrationslagern eingesetzt, die man für vier Reichsmark pro Tag von der SS auslieh. Im Juli 1938 wurde Henry Ford mit dem Adlerschild des Deutschen Reiches ausgezeichnet. Ford war der erste Amerikaner, dem diese Auszeichnung zuteil wurde. Sie war die höchste Auszeichnung, die das Deutsche Reich während der Weimarer Republik und der Zeit des Nationalsozialismus an Ausländer vergab. Der Orden wurde vergeben „in Anerkennung der Pionierarbeit [Fords], um Autos für die Massen verfügbar zu machen“. Die Auszeichnung wurde begleitet von einer persönlichen Glückwunschnachricht Adolf Hitlers (Detroit News, 31. Juli 1938). Im selben Jahr wurde Ford das Großkreuz des Deutschen Adlerordens verliehen.;;;;;;X
9300064a;He Deserves the Medal;He Deserves the Medal;;;Er verdient die Medaille;;;;;;X
9300065name;GM & Opel Cooperation;GM & Opel Cooperation;;;GM & Opel Kooperation;;;;;;X
9300065desc;General Motors produced vast quantities of armaments, vehicles, and aircraft for the Allied war effort during World War II. Its multinational interests however were split up by the combating powers during the war such that the American, Canadian and British parts of the corporation served the Allied war effort and Adam Opel AG served the Axis war effort. Shortly after Germany occupied Czechoslovakia, General Motors Chairman Alfred Sloan defended GM's strategy of doing business with the National Socialist regime, saying that GM's German operations were 'highly profitable'. By the spring of 1939, the German Government had assumed day-to-day control of American owned factories in Germany, but decided against nationalizing them completely (seizing the assets and capital). Soon after the war broke out, the nationalization came nonetheless. In a 1977 interview, National Socialist armaments chief Albert Speer would say that Hitler 'would never have considered invading Poland' without synthetic fuel technology provided by GM.;General Motors produced vast quantities of armaments, vehicles, and aircraft for the Allied war effort during World War II. Its multinational interests however were split up by the combating powers during the war such that the American, Canadian and British parts of the corporation served the Allied war effort and Adam Opel AG served the Axis war effort. Shortly after Germany occupied Czechoslovakia, General Motors Chairman Alfred Sloan defended GM's strategy of doing business with the Nazi regime, saying that GM's German operations were 'highly profitable'. By the spring of 1939, the German Government had assumed day-to-day control of American owned factories in Germany, but decided against nationalizing them completely (seizing the assets and capital). Soon after the war broke out, the nationalization came nonetheless. In a 1977 interview, Nazi armaments chief Albert Speer would say that Hitler 'would never have considered invading Poland' without synthetic fuel technology provided by GM.;;;Während des Zweiten Weltkriegs belieferten General Motors und seine Tochtergesellschaften beide Kriegsparteien. Dies umfasste allein ein Zehntel der gesamten amerikanischen Rüstungsproduktion. Einem Bericht des amerikanischen Senats aus dem Jahre 1974 zufolge expandierte General Motors (sowie Ford und Chrysler) während der 1920er und 1930er Jahre in viele europäische Länder, eingeschlossen Deutschland (Opel). Die Unternehmen versorgten sowohl die US-Army als auch die Wehrmacht des Deutschen Reiches mit Lastkraftwagen.;;;;;;X
9300066name;\n \n \n \n \n \n \n \n \nHitler Man of the Year;\n \n \n \n \n \n \n \n \nHitler Man of the Year;;;\n \n \n \n \n \n \n \n \nHitler ist Mann des Jahres;;;;;;X
9300066desc;On January 2, 1939, Time Magazine, the prestigious American periodical,  published its annual Man of the Year issue. For the year 1938, Time had chosen Adolf Hitler as the man who 'for better or worse' (as Time founder Henry Luce expressed it) had most influenced events of the preceding year.  He had helped to ensure peace in Europe by negotiating the Munich Agreement. In private, however, the Führer seems quite incensed at being cheated out of a war.;On January 2, 1939, Time Magazine, the prestigious American periodical,  published its annual Man of the Year issue. For the year 1938, Time had chosen Adolf Hitler as the man who 'for better or worse' (as Time founder Henry Luce expressed it) had most influenced events of the preceding year.  He had helped to ensure peace in Europe by negotiating the Munich Agreement. In private, however, the Führer seems quite incensed at being cheated out of a war.;;;Am 2. Januar 1939 veröffentlichte das Time Magazine, ein angesehenes amerikanisches Magazin, die jährliche Ausgabe des Mann des Jahres. Für das Jahr 1938 wurde Adolf Hitler von der Time als den Mann des Jahres gewählt, da er (wie sich der Gründer des Time Henry Luce äußerte) die meisten Ereginisse im vorigen Jahr beeinflusste. Mit dem Münchner Abkommen hatte er versucht den Frieden in Europa zu sichern. Persönlich war Hitler jedoch erbost, dem Krieg noch einmal entwischt zu sein.;;;;;;X
9300067name;Rommel's ’Infantry Attacks';Rommel's ’Infantry Attacks';;;Rommels 'Infanterie greift an';;;;;;X
